start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Thursday,4 PM,94286,North Moore St & Greenwich St,2.5,14.1,14 minutes 6 seconds,1.31,5.57,8 Ave & W 31 St
Thursday,5 AM,10601,W 41 St & 8 Ave,1.3,10.3,10 minutes 18 seconds,1.38,8.04,E 33 St & 1 Ave
Thursday,5 PM,132296,E 47 St & Park Ave,2.1,13.9,13 minutes 54 seconds,1.36,5.87,11 Ave & W 41 St
Thursday,6 AM,29403,1 Ave & E 68 St,0.9,10.1,10 minutes 6 seconds,1.51,8.97,North Moore St & Greenwich St
Thursday,6 PM,128996,West St & Chambers St,2.2,13.8,13 minutes 48 seconds,1.33,5.78,West St & Chambers St
Thursday,7 AM,57522,E 33 St & 1 Ave,1.0,10.8,10 minutes 48 seconds,1.33,7.39,E 47 St & Park Ave
Thursday,7 PM,101891,West St & Chambers St,2.7,14.0,14 minutes 0 seconds,1.29,5.53,West St & Chambers St
Thursday,8 AM,93453,E 33 St & 1 Ave,1.0,11.4,11 minutes 24 seconds,1.33,7.0,E 47 St & Park Ave
Thursday,8 PM,76714,West St & Chambers St,2.9,14.4,14 minutes 24 seconds,1.3,5.42,8 Ave & W 31 St
Thursday,9 AM,76324,W 54 St & 11 Ave,1.4,11.4,11 minutes 24 seconds,1.24,6.53,9 Ave & W 33 St
Thursday,9 PM,60085,12 Ave & W 40 St,3.4,14.6,14 minutes 36 seconds,1.33,5.47,Canal St & Rutgers St
Tuesday,1 AM,7625,W 41 St & 8 Ave,5.0,14.2,14 minutes 12 seconds,1.39,5.87,W 41 St & 8 Ave
Tuesday,1 PM,64698,Broadway & W 58 St,3.0,13.3,13 minutes 18 seconds,1.17,5.28,W 41 St & 8 Ave
Tuesday,10 AM,54995,Broadway & W 53 St,2.1,12.8,12 minutes 48 seconds,1.21,5.67,Broadway & W 53 St
Tuesday,10 PM,42684,Greenwich St & W Houston St,2.7,13.7,13 minutes 42 seconds,1.64,7.18,W 43 St & 10 Ave
Tuesday,11 AM,55844,Broadway & W 53 St,2.6,13.4,13 minutes 24 seconds,1.18,5.28,Broadway & W 53 St
Tuesday,11 PM,28611,W 4 St & 7 Ave S,3.2,14.1,14 minutes 6 seconds,1.41,6.0,W 43 St & 10 Ave
Tuesday,12 AM,14841,8 Ave & W 31 St,4.4,14.0,14 minutes 0 seconds,1.43,6.13,Eastern Pkwy & Kingston Ave
Tuesday,12 PM,62458,Broadway & W 58 St,2.9,13.2,13 minutes 12 seconds,1.14,5.18,W 21 St & 6 Ave
Tuesday,2 AM,4542,E 9 St & Ave C,6.3,14.8,14 minutes 48 seconds,2.57,10.42,President St & Nostrand Ave
Tuesday,2 PM,68933,Central Park S & 6 Ave,2.8,13.5,13 minutes 30 seconds,1.76,7.82,W 41 St & 8 Ave
Tuesday,3 AM,2900,DeKalb Ave & Hudson Ave,5.3,13.7,13 minutes 42 seconds,1.4,6.13,E 7 St & Ave B
Tuesday,3 PM,77137,9 Ave & W 33 St,2.6,13.7,13 minutes 42 seconds,1.27,5.56,W 31 St & 7 Ave
Tuesday,4 AM,3689,Columbia St & Rivington St,3.2,12.4,12 minutes 24 seconds,1.44,6.97,8 Ave & W 31 St
Tuesday,4 PM,98333,North Moore St & Greenwich St,2.2,13.6,13 minutes 36 seconds,1.32,5.82,FDR Drive & E 35 St
Tuesday,5 AM,12564,W 41 St & 8 Ave,1.3,10.3,10 minutes 18 seconds,1.38,8.04,E 33 St & 1 Ave
Tuesday,5 PM,148248,E 47 St & Park Ave,1.7,13.4,13 minutes 24 seconds,1.36,6.09,11 Ave & W 41 St
Tuesday,6 AM,36406,1 Ave & E 68 St,1.0,10.2,10 minutes 12 seconds,1.33,7.82,North Moore St & Greenwich St
Tuesday,6 PM,133054,West St & Chambers St,2.1,13.5,13 minutes 30 seconds,1.34,5.96,West St & Chambers St
Tuesday,7 AM,66389,E 33 St & 1 Ave,1.0,10.8,10 minutes 48 seconds,1.35,7.5,E 47 St & Park Ave
Tuesday,7 PM,104205,West St & Chambers St,2.5,13.5,13 minutes 30 seconds,1.34,5.96,West St & Chambers St
Tuesday,8 AM,104169,E 33 St & 1 Ave,1.0,11.5,11 minutes 30 seconds,1.34,6.99,9 Ave & W 33 St
Tuesday,8 PM,75958,West St & Chambers St,2.8,13.4,13 minutes 24 seconds,1.28,5.73,West St & Chambers St
Tuesday,9 AM,79472,Broadway & W 53 St,1.2,11.6,11 minutes 36 seconds,1.24,6.41,9 Ave & W 33 St
Tuesday,9 PM,55897,Pier 40 - Hudson River Park,2.8,13.5,13 minutes 30 seconds,1.32,5.87,West St & Chambers St
Wednesday,1 AM,8121,6 Ave & W 33 St,4.7,14.8,14 minutes 48 seconds,2.07,8.39,W 41 St & 8 Ave
Wednesday,1 PM,64259,University Pl & E 14 St,2.6,12.7,12 minutes 42 seconds,1.17,5.53,University Pl & E 14 St
Wednesday,10 AM,55669,Broadway & W 53 St,1.9,12.2,12 minutes 12 seconds,1.21,5.95,Broadway & W 53 St
Wednesday,10 PM,42564,Carmine St & 6 Ave,2.8,13.8,13 minutes 48 seconds,1.49,6.48,Canal St & Rutgers St
